page,line,front,explanation
28,11,deviate,
28,12,device,
28,13,devote,
28,14,differentiate,
28,15,dimension,
28,16,diminish,
28,17,discrete,
28,18,discriminate,
28,19,displace,
28,20,display,
28,21,dispose,
28,22,distinct,
28,23,distinguish,
28,24,distort,
28,25,distribute,
28,26,disturbing,
28,27,diverse,
28,28,diversity,
28,29,document,
29,1,domain,
29,2,domestic,
29,3,dominant,
29,4,dominate,
29,5,doubtful,
29,6,downward,
29,7,draft,
29,8,drama,
29,9,dramatic,
29,10,dramatically,
29,11,drawback,
29,12,duration,
29,13,dynamic,
29,14,E,
29,15,ease,
29,16,economy,
29,17,edit,
29,18,elegantly,
29,19,element,
29,20,eliminate,
29,21,embark,
29,22,emerge,
29,23,emerged,
29,24,emphasis,
29,25,empirical,
29,26,enable,
29,27,encounter,
29,28,energy,
29,29,enforce,
30,1,enhance,
30,2,enhancement,
30,3,enormous,
30,4,enquire,
30,5,ensure,
30,6,enthusiasm,
30,7,enthusiastically,
30,8,entity,
30,9,environment,
30,10,equate,
30,11,equip,
30,12,equivalent,
30,13,erode,
30,14,error,
30,15,essence,
30,16,establish,
30,17,estate,
30,18,estimate,
30,19,ethic,
30,20,ethical,
30,21,ethically,
30,22,ethnic,
30,23,evaluate,
30,24,evasion,
30,25,eventual,
30,26,eventually,
30,27,evidence,
30,28,evident,
30,29,evolve,
31,1,exceed,
31,2,excessively,
31,3,exclude,
31,4,exclusively,
31,5,exhibit,
31,6,existence,
31,7,expand,
31,8,experimental,
31,9,expert,
31,10,expertise,
31,11,explicit,
31,12,exploit,
31,13,export,
31,14,expose,
31,15,exposed,
31,16,external,
31,17,extract,
31,18,extremely,
31,19,F,
31,20,facilitate,
31,21,factor,
31,22,fast-paced,
31,23,favourable,
31,24,favourable,
31,25,feasible,
31,26,feature,
31,27,federal,
31,28,figure,
31,29,file,
32,1,final,
32,2,finance,
32,3,finite,
32,4,firmly,
32,5,flexible,
32,6,fluctuate,
32,7,fluctuating,
32,8,focus,
32,9,format,
32,10,formula,
32,11,forthcoming,
32,12,foundation,
32,13,fractal,
32,14,framework,
32,15,fraught,
32,16,frequent,
32,17,frequently,
32,18,frustration,
32,19,function,
32,20,fund,
32,21,fundamental,
32,22,furthermore,
32,23,G,
32,24,gender,
32,25,generate,
32,26,generation,
32,27,globe,
32,28,grade,
32,29,gradually,
33,1,grant,
33,2,grasp,
33,3,guarantee,
33,4,guideline,
33,5,H,
33,6,harness,
33,7,hence,
33,8,heroic,
33,9,hierarchy,
33,10,highlight,
33,11,historically,
33,12,household,
33,13,hypothesis,
33,14,I,
33,15,identical,
33,16,identify,
33,17,ideology,
33,18,ignorant,
33,19,illiteracy,
33,20,illustrate,
33,21,image,
33,22,immense,
33,23,immigrate,
33,24,impact,
33,25,impart,
33,26,implant,
33,27,implement,
33,28,implicate,
33,29,implicit,
34,1,imply,
34,2,impose,
34,3,incentive,
34,4,incidence,
34,5,incline,
34,6,income,
34,7,incorporate,
34,8,increase,
34,9,increasingly,
34,10,incredibly,
34,11,index,
34,12,indicate,
34,13,individual,
34,14,individuality,
34,15,induce,
34,16,inequality,
34,17,inevitable,
34,18,inevitably,
34,19,infectious,
34,20,infer,
34,21,infrastructure,
34,22,inhabit,
34,23,inherent,
34,24,inhibit,
34,25,initial,
34,26,initially,
34,27,initiate,
34,28,initiated,
34,29,injure,
35,1,innovate,
35,2,insert,
35,3,insight,
35,4,inspect,
35,5,instance,
35,6,institute,
35,7,institution,
35,8,instruct,
35,9,insuperable,
35,10,integral,
35,11,integrate,
35,12,integrity,
35,13,intellectual,
35,14,intelligent,
35,15,intense,
35,16,interact,
35,17,intermediate,
35,18,internal,
35,19,interpret,
35,20,interval,
35,21,intervene,
35,22,intervention,
35,23,intrinsic,
35,24,invest,
35,25,investigate,
35,26,invoke,
35,27,involve,
35,28,irresistible,
35,29,irrespective,
36,1,isolate,
36,2,issue,
36,3,J,
36,4,journal,
36,5,justify,
36,6,L,
36,7,labour,
36,8,layer,
36,9,lecture,
36,10,legal,
36,11,legislate,
36,12,legitimate,
36,13,levy,
36,14,liability,
36,15,liberal,
36,16,licence,
36,17,likelihood,
36,18,likely,
36,19,likewise,
36,20,literate,
36,21,locate,
36,22,logic,
36,23,lucrative,
36,24,M,
36,25,magnificent,
36,26,maintain,
36,27,major,
36,28,majority,
36,29,mandatory,
37,1,manipulate,
37,2,manual,
37,3,margin,
37,4,marginal,
37,5,maternal,
37,6,mature,
37,7,maximise,
37,8,mechanism,
37,9,media,
37,10,mediate,
37,11,medical,
37,12,medium,
37,13,mental,
37,14,mentally,
37,15,method,
37,16,migrate,
37,17,military,
37,18,minimal,
37,19,minimise,
37,20,minimum,
37,21,ministry,
37,22,minor,
37,23,mobility,
37,24,mode,
37,25,moderately,
37,26,modify,
37,27,monitor,
37,28,motivated,
37,29,motive,
38,1,mutual,
38,2,myriad,
38,3,N,
38,4,necessities,
38,5,necessity,
38,6,negate,
38,7,neglected,
38,8,network,
38,9,neutral,
38,10,nevertheless,
38,11,nonetheless,
38,12,norm,
38,13,normal,
38,14,notion,
38,15,notwithstanding,
38,16,nuclear,
38,17,objective,
38,18,obstacles,
38,19,obtain,
38,20,obtainable,
38,21,obvious,
38,22,obviously,
38,23,occupy,
38,24,occur,
38,25,odd,
38,26,offset,
38,27,ongoing,
38,28,optimism,
38,29,option,
39,1,orient,
39,2,orientation,
39,3,ought,
39,4,outcome,
39,5,overall,
39,6,overlap,
39,7,overseas,
39,8,P,
39,9,panel,
39,10,paradigm,
39,11,paragraph,
39,12,parallel,
39,13,parameter,
39,14,participate,
39,15,partner,
39,16,passive,
39,17,patently,
39,18,perceive,
39,19,perceived,
39,20,percent,
39,21,period,
39,22,persist,
39,23,perspective,
39,24,phase,
39,25,phenomenon,
39,26,philosophically,
39,27,philosophy,
39,28,physical,
39,29,pitfalls,
40,1,pleasurable,
40,2,policy,
40,3,popularity,
40,4,portfolio,
40,5,portion,
40,6,pose,
40,7,positive,
40,8,positively,
40,9,potential,
40,10,practitioner,
40,11,precede,
40,12,precise,
40,13,predict,
40,14,predictable,
40,15,predominant,
40,16,preliminary,
40,17,presume,
40,18,prevail,
40,19,prevalent,
40,20,previous,
40,21,primary,
40,22,prime,
40,23,principal,
40,24,principle,
40,25,prior,
40,26,priority,
40,27,privilege,
40,28,probable,
40,29,proceed,
41,1,process,
41,2,productivity,
41,3,professional,
41,4,proficiency,
41,5,profitable,
41,6,prohibit,
41,7,prohibitively,
41,8,project,
41,9,projection,
41,10,proliferation,
41,11,promote,
41,12,proportion,
41,13,proportionally,
41,14,proportions,
41,15,prospect,
41,16,protocol,
41,17,psychology,
41,18,publication,
41,19,publish,
41,20,purchase,
41,21,pursue,
41,22,pursuit,
41,23,Q,
41,24,qualitative,
41,25,quote,
41,26,R,
41,27,radical,
41,28,radically,
41,29,random,
42,1,range,
42,2,ratio,
42,3,rational,
42,4,react,
42,5,reasonable,
42,6,reckon,
42,7,recover,
42,8,refine,
42,9,refinery,
42,10,reflect,
42,11,regime,
42,12,region,
42,13,register,
42,14,regularly,
42,15,regulate,
42,16,reinforce,
42,17,reinforcement,
42,18,reject,
42,19,relatively,
42,20,relax,
42,21,release,
42,22,relevant,
42,23,reluctance,
42,24,reluctant,
42,25,rely,
42,26,remarkable,
42,27,remove,
42,28,rendering,
42,29,reproduction,
43,1,require,
43,2,research,
43,3,resemble,
43,4,reside,
43,5,resolve,
43,6,resource,
43,7,respond,
43,8,responsible,
43,9,restore,
43,10,restrain,
43,11,restrict,
43,12,restricted,
43,13,retain,
43,14,reveal,
43,15,revenue,
43,16,reverse,
43,17,revise,
43,18,revolution,
43,19,rigid,
43,20,ritual,
43,21,role,
43,22,roughly,
43,23,route,
43,24,routine,
43,25,S,
43,26,savvy,
43,27,scale,
43,28,scenario,
43,29,schedule,
44,1,scheme,
44,2,scope,
44,3,sector,
44,4,secure,
44,5,seek,
44,6,select,
44,7,sequence,
44,8,series,
44,9,shift,
44,10,significance,
44,11,significant,
44,12,similar,
44,13,simulate,
44,14,simultaneously,
44,15,sceptical,
44,16,slightly,
44,17,so-called,
44,18,sole,
44,19,somewhat,
44,20,source,
44,21,specific,
44,22,specifically,
44,23,specify,
44,24,spectacular,
44,25,sphere,
44,26,stabilize,
44,27,stable,
44,28,standardise,
44,29,statistic,
45,1,stimulate,
45,2,straightforward,
45,3,strategic,
45,4,strategy,
45,5,stress,
45,6,structure,
45,7,style,
45,8,submit,
45,9,subordinate,
45,10,subsequent,
45,11,subsidy,
45,12,substantial,
45,13,substitute,
45,14,successor,
45,15,sufficient,
45,16,sufficiently,
45,17,summary,
45,18,supplement,
45,19,supplementary,
45,20,surge,
45,21,surrounded,
45,22,survey,
45,23,survive,
45,24,suspend,
45,25,sustain,
45,26,sustainable,
45,27,sustainably,
45,28,symbol,
45,29,syndrome,
46,1,T,
46,2,tape,
46,3,target,
46,4,technical,
46,5,technique,
46,6,technology,
46,7,temporarily,
46,8,temporary,
46,9,tendency,
46,10,tense,
46,11,terminate,
46,12,theme,
46,13,theoretically,
46,14,theory,
46,15,thereby,
46,16,therefore,
46,17,thesis,
46,18,threshold,
46,19,towards,
46,20,trace,
46,21,tradition,
46,22,transfer,
46,23,transform,
46,24,transit,
46,25,transmit,
46,26,transport,
46,27,trend,
46,28,trigger,
46,29,trivial,
47,1,U,
47,2,ultimate,
47,3,uncertainty,
47,4,undeniable,
47,5,undergo,
47,6,underlie,
47,7,underlying,
47,8,undermine,
47,9,underneath,
47,10,undertake,
47,11,undisputed,
47,12,unethical,
47,13,unfortunately,
47,14,uniform,
47,15,unify,
47,16,unintended,
47,17,unique,
47,18,unlikely,
47,19,unprecedented,
47,20,unpredictable,
47,21,unravelled,
47,22,utilise,
47,23,utilitarian,
47,24,V,
47,25,valid,
47,26,variety,
47,27,vary,
47,28,vehicle,
47,29,vertically,
48,1,via,
48,2,violate,
48,3,virtual,
48,4,visible,
48,5,vision,
48,6,visual,
48,7,vital,
48,8,volume,
48,9,voluntary,
48,10,W,
48,11,wage,
48,12,welfare,
48,13,whereas,
48,14,whereby,
48,15,widespread,
48,16,Amn't am not,
48,17,Ain't,
48,18,Am not / is not / are not / has not / have not / did not (colloquial),
48,19,Aren't are not,
48,20,"Can't (rarely, cain't) cannot",
48,21,Could've could have,
48,22,Couldn't could not,
48,23,Daresn't dare not,
48,24,Dasn't dare not,
